tract_id,tract_name,latitude,longitude,total_population,median_income,car_ownership_rate,area_sq_km,poverty_rate,population_density
36061000100,Lower Manhattan,40.7128,-74.0060,12500,85000,0.15,1.8,0.08,6944.44
36061000200,Financial District,40.7075,-74.0109,8900,120000,0.12,2.1,0.05,4238.10
36061000300,Chinatown,40.7158,-73.9970,15200,45000,0.25,2.5,0.22,6080.00
36061000400,Little Italy,40.7190,-73.9970,6800,52000,0.20,1.9,0.18,3578.95
36061000500,East Village,40.7265,-73.9815,18400,68000,0.18,3.2,0.12,5750.00
36061000600,West Village,40.7358,-74.0068,14200,95000,0.22,2.8,0.10,5071.43
36061000700,Chelsea,40.7484,-74.0017,16800,78000,0.25,3.1,0.15,5419.35
36061000800,Midtown West,40.7589,-73.9851,11200,92000,0.20,2.4,0.08,4666.67
36061000900,Midtown East,40.7505,-73.9934,9800,105000,0.15,2.7,0.06,3629.63
36061001000,Upper East Side,40.7731,-73.9712,15600,125000,0.12,3.5,0.04,4457.14
36061001100,Upper West Side,40.7870,-73.9754,13400,98000,0.18,3.2,0.09,4187.50
36061001200,Harlem,40.8116,-73.9465,18900,42000,0.35,4.1,0.28,4609.76
36061001300,Washington Heights,40.8417,-73.9396,16700,38000,0.30,3.8,0.32,4394.74
36061001400,Inwood,40.8677,-73.9212,9800,35000,0.40,2.9,0.35,3379.31
36061001500,Bronx Park,40.8448,-73.8648,7200,48000,0.45,5.2,0.25,1384.62
36061001600,Fordham,40.8601,-73.8904,15800,42000,0.38,4.8,0.30,3291.67
36061001700,Pelham Bay,40.8476,-73.8298,12300,38000,0.42,6.1,0.28,2016.39
36061001800,Astoria,40.7648,-73.9235,18700,65000,0.28,3.4,0.18,5500.00
36061001900,Long Island City,40.7447,-73.9485,15600,72000,0.32,4.2,0.15,3714.29
36061002000,Jackson Heights,40.7477,-73.8830,16800,58000,0.35,3.9,0.20,4307.69
