stop_id,stop_name,stop_lat,stop_lon,stop_desc
101,Van Cortlandt Park-242 St,40.889248,-73.898583,NYC MTA Subway Stop
103,238 St,40.884667,-73.900870,NYC MTA Subway Stop
104,231 St,40.878856,-73.904834,NYC MTA Subway Stop
106,Marble Hill-225 St,40.874561,-73.909831,NYC MTA Subway Stop
107,215 St,40.869444,-73.915279,NYC MTA Subway Stop
108,207 St,40.864621,-73.918822,NYC MTA Subway Stop
109,Dyckman St,40.860531,-73.925536,NYC MTA Subway Stop
110,191 St,40.855225,-73.929412,NYC MTA Subway Stop
111,181 St,40.849505,-73.933596,NYC MTA Subway Stop
112,168 St-Washington Hts,40.840556,-73.940133,NYC MTA Subway Stop
113,157 St,40.834041,-73.944890,NYC MTA Subway Stop
114,145 St,40.826551,-73.950360,NYC MTA Subway Stop
115,137 St-City College,40.822008,-73.953676,NYC MTA Subway Stop
116,125 St,40.815581,-73.958372,NYC MTA Subway Stop
117,116 St-Columbia University,40.807722,-73.964110,NYC MTA Subway Stop
118,Cathedral Pkwy (110 St),40.803967,-73.966847,NYC MTA Subway Stop
119,103 St,40.799446,-73.968379,NYC MTA Subway Stop
120,96 St,40.793919,-73.972323,NYC MTA Subway Stop
121,86 St,40.788644,-73.976218,NYC MTA Subway Stop
122,79 St,40.783934,-73.979917,NYC MTA Subway Stop
123,72 St,40.778453,-73.981970,NYC MTA Subway Stop
124,66 St-Lincoln Center,40.773440,-73.982209,NYC MTA Subway Stop
125,59 St-Columbus Circle,40.768247,-73.981929,NYC MTA Subway Stop
126,50 St,40.761728,-73.983849,NYC MTA Subway Stop
127,Times Sq-42 St,40.755290,-73.987495,NYC MTA Subway Stop
128,34 St-Penn Station,40.750373,-73.991057,NYC MTA Subway Stop
129,28 St,40.747215,-73.993365,NYC MTA Subway Stop
130,23 St,40.744081,-73.995657,NYC MTA Subway Stop
131,18 St,40.741040,-73.997871,NYC MTA Subway Stop
132,14 St,40.737826,-74.000201,NYC MTA Subway Stop
133,Christopher St-Sheridan Sq,40.733422,-74.002906,NYC MTA Subway Stop
134,Houston St,40.728251,-74.005367,NYC MTA Subway Stop
135,Canal St,40.722854,-74.006277,NYC MTA Subway Stop
136,Franklin St,40.719318,-74.006886,NYC MTA Subway Stop
137,Chambers St,40.715478,-74.009266,NYC MTA Subway Stop
138,Cortlandt St,40.710668,-74.011029,NYC MTA Subway Stop
139,Rector St,40.707557,-74.013783,NYC MTA Subway Stop
140,South Ferry,40.702068,-74.013664,NYC MTA Subway Stop
201,Wakefield-241 St,40.903125,-73.850620,NYC MTA Subway Stop
204,Nereid Av,40.898379,-73.854414,NYC MTA Subway Stop
205,233 St,40.888813,-73.860816,NYC MTA Subway Stop
206,225 St,40.880889,-73.866434,NYC MTA Subway Stop
207,219 St,40.874087,-73.870064,NYC MTA Subway Stop
208,Gun Hill Rd,40.867535,-73.877172,NYC MTA Subway Stop
209,Burke Av,40.871296,-73.867051,NYC MTA Subway Stop
210,Allerton Av,40.865491,-73.867193,NYC MTA Subway Stop
211,Pelham Pkwy,40.858985,-73.855359,NYC MTA Subway Stop
212,Bronx Park East,40.850496,-73.866135,NYC MTA Subway Stop
213,E 180 St,40.841894,-73.873488,NYC MTA Subway Stop
214,West Farms Sq-E Tremont Av,40.840295,-73.880049,NYC MTA Subway Stop
215,174 St,40.837288,-73.887734,NYC MTA Subway Stop
216,Freeman St,40.829993,-73.891865,NYC MTA Subway Stop
217,Simpson St,40.824073,-73.893064,NYC MTA Subway Stop
218,Intervale Av,40.822181,-73.896736,NYC MTA Subway Stop
219,Prospect Av,40.819585,-73.90177,NYC MTA Subway Stop
220,Jackson Av,40.81649,-73.907807,NYC MTA Subway Stop
221,3 Av-149 St,40.816109,-73.917757,NYC MTA Subway Stop
222,149 St-Grand Concourse,40.81841,-73.926718,NYC MTA Subway Stop
223,135 St,40.814229,-73.94077,NYC MTA Subway Stop
224,125 St,40.807754,-73.945495,NYC MTA Subway Stop
225,116 St,40.802098,-73.949625,NYC MTA Subway Stop
226,Central Park North (110 St),40.799075,-73.951822,NYC MTA Subway Stop
227,96 St,40.793919,-73.972323,NYC MTA Subway Stop
228,86 St,40.788644,-73.976218,NYC MTA Subway Stop
229,79 St,40.783934,-73.979917,NYC MTA Subway Stop
230,72 St,40.778453,-73.981970,NYC MTA Subway Stop
231,66 St-Lincoln Center,40.773440,-73.982209,NYC MTA Subway Stop
232,59 St-Columbus Circle,40.768247,-73.981929,NYC MTA Subway Stop
233,50 St,40.761728,-73.983849,NYC MTA Subway Stop
234,Times Sq-42 St,40.755290,-73.987495,NYC MTA Subway Stop
235,34 St-Penn Station,40.750373,-73.991057,NYC MTA Subway Stop
236,28 St,40.747215,-73.993365,NYC MTA Subway Stop
237,23 St,40.744081,-73.995657,NYC MTA Subway Stop
238,18 St,40.741040,-73.997871,NYC MTA Subway Stop
239,14 St,40.737826,-74.000201,NYC MTA Subway Stop
240,Christopher St-Sheridan Sq,40.733422,-74.002906,NYC MTA Subway Stop
241,Houston St,40.728251,-74.005367,NYC MTA Subway Stop
242,Canal St,40.722854,-74.006277,NYC MTA Subway Stop
243,Franklin St,40.719318,-74.006886,NYC MTA Subway Stop
244,Chambers St,40.715478,-74.009266,NYC MTA Subway Stop
245,Cortlandt St,40.710668,-74.011029,NYC MTA Subway Stop
246,Rector St,40.707557,-74.013783,NYC MTA Subway Stop
247,South Ferry,40.702068,-74.013664,NYC MTA Subway Stop
301,Harlem-148 St,40.823880,-73.936470,NYC MTA Subway Stop
302,145 St,40.820421,-73.936245,NYC MTA Subway Stop
303,135 St,40.817942,-73.940858,NYC MTA Subway Stop
304,125 St,40.815581,-73.945264,NYC MTA Subway Stop
305,116 St,40.812118,-73.949625,NYC MTA Subway Stop
306,Central Park North (110 St),40.799075,-73.951822,NYC MTA Subway Stop
307,103 St,40.799446,-73.968378,NYC MTA Subway Stop
308,96 St,40.791619,-73.964217,NYC MTA Subway Stop
309,86 St,40.785672,-73.976217,NYC MTA Subway Stop
310,79 St,40.783434,-73.980373,NYC MTA Subway Stop
311,72 St,40.778453,-73.981970,NYC MTA Subway Stop
312,66 St-Lincoln Center,40.773440,-73.982209,NYC MTA Subway Stop
313,59 St-Columbus Circle,40.768247,-73.981929,NYC MTA Subway Stop
314,50 St,40.761728,-73.983849,NYC MTA Subway Stop
315,Times Sq-42 St,40.755290,-73.987495,NYC MTA Subway Stop
316,34 St-Penn Station,40.750373,-73.991057,NYC MTA Subway Stop
317,28 St,40.747215,-73.993365,NYC MTA Subway Stop
318,23 St,40.744081,-73.995657,NYC MTA Subway Stop
319,18 St,40.741040,-73.997871,NYC MTA Subway Stop
320,14 St,40.737826,-74.000201,NYC MTA Subway Stop
321,Christopher St-Sheridan Sq,40.733422,-74.002906,NYC MTA Subway Stop
322,Houston St,40.728251,-74.005367,NYC MTA Subway Stop
323,Canal St,40.722854,-74.006277,NYC MTA Subway Stop
324,Franklin St,40.719318,-74.006886,NYC MTA Subway Stop
325,Chambers St,40.715478,-74.009266,NYC MTA Subway Stop
326,Cortlandt St,40.710668,-74.011029,NYC MTA Subway Stop
327,Rector St,40.707557,-74.013783,NYC MTA Subway Stop
328,South Ferry,40.702068,-74.013664,NYC MTA Subway Stop
